KODE MATERIAL,NAMA,SPESIFIKASI
D73TI5450,AIR CYLINDER,OJ-ADN-54-50-L || DUAL PISTON || STROKE : 50 || BORE DIA : 60桅
D73TR0006,CONTACT TIPS,BTB MIG GUNS || T1045 || 1.2 mm
D52TQ2808,PCB,PLASMA CUTTING A-70 || P/N: P9499L
A52YS0160,Kabel Kontrol. AWG 16,AWG 16
D73TI3000,PCB,OTC M3000 PLASMA CUTTING || P/N: P6930S || P0912-16-004
D31WH0007,GREASE,GREASE SGX-NL || GRADE NLGI NO: 2 || @16 kg
D31WH1000,BRAKE FLUID,DOT 3 || 1000mL
D31WH2051,OLI,GASOLINE ENGINE || SAE 20W-50 || JASO MA || API SJ || 1 LITER
D62QE0880,CAT,PRIMTOP 88 || RESIN ALKYD DENGAN PIGMENT SPESIAL ANTI-KOROSIF || CANARY YELLOW || @1KG
D62QF0001,THINNER,THINNER A SPECIAL || @1L
D65WH0170,BELT DRESSING,PERSTONE BELT DRESSING || @250 mL
D66US0005,EPOXY ADHESIVES 48 GR.,2 COMPONENT  || 5 MIN. CURING TIME
D66US4040,CORIUM ADHESIVE,HEAVY DUTY METAL REPAIR COMPOUND || C4040
D66US4060,CORIUM ADHESIVE,RAPID REPAIR MACHINABLE SEALING <(>&<)> FILLING COMPOUND || C4060
D31WH0303,PIKOLI SOLUBE CUTTING OIL,1 DRUM @200 LTR
D67UK0141,CONTACT CLEANER,WD40 BESAR 412 mL
B55UW6836,OIL FILTER,P/N. 39911631  || for IR AIR SCREW COMPRESSOR SSR-MM160
B98UX8262,OIL FILTER ELEMENT,P/N. 39911631 || for INGERSOLL-RAND AIR SCREW COMPRESSOR SSR-ML250
D73TR0004,AUTO DRAIN VALVE,AD402-04D || PORT SIZE: 1/2 || TYPE: NORMALLY OPEN
D52TI2101,PRESSURE SWITCH,MDR 3/11 RM EA || SKR3/20.0 A || OVERLOAD RELAY: 16 - 20 A ||
D52TP1101,GENERATOR ASSY,YANMAR || P/N: 123951-77200 || VOLTAGE: 12 V || CURRENT: 55 A
B52TI2060,AUTOMATIC TRANSFER SWITCH,FG WILSON ATI 400 || CURRENT RATING : 400 A || STANDARD : IEC 60947-6-1
B52TN1021,ACCU,12N10-3B || 12 V || 10 Ah
D73TI5885,THROTTLE SENSOR,YAMAHA DRIVE (G29) || OEM: JW2-H5885-00 || >PBT-GF20-M20<
D52TP7795,SOLENOID,ENGINE: 4TNV106-GGE || 12VDC || P/N: 119653-77950
D73TI0430,SINGLE FLANGED CRANE WHEEL,MATERIAL: S45C || SHAFT DIA: 100 mm || TREAD DIA: 400 mm || FLANGE DIA: 450 mm || WHEEL LOAD: 30 T
D31WH0240,OLI,DIESEL ENGINE || SAE 40 || API CF2 || @5 LITER || PERTAMINA MEDITRAN S
A01MJ6364,WIRE ROPE HOIST CRANE,8 x ( 6 x 36 ) IWRC/MIN. LOAD 4T
A52ZJ0016,CABLE,PENDANT CONTROL CABLE || TWO STRAINER WIRES || 16 X 1.5 mm2 || 26mm X 14.5mm || 10A
B52TI418758,CARBON SLIDING CONTACT,TYPE: DELACHAUX 45340 || 87 X 58 X 5 mm
D01MJ6366,WIRE ROPE HOIST CRANE,10 x ( 6 x 36 ) IWRC/MIN. LOAD 6T
D52TO2710,MOTOR BRAKE,SERIES: PME 400-S || 400 V || 1A
D52TP2340,CURRENT COLECTOR,DELACHAUX MODEL 45340
D52UM2002,CONTACT BLOCK PENDANT SWITCH,TELEMECANIQUE XEN-G1191 / 240V3A || 1NC2NO  || 2-SPEED
D67UD8705,BRUSH HOLDER,TYPE : DELACHAUX 45340 || BOX 87 X 5 mm
D73TI0059,CONICAL BRAKE RING,FORM B ( NARROW ) || MOTOR TYPE : KBF 80 LA 8/2 || P/N : 059 787 84
D73TI0064,CONICAL BRAKE RING,FORM B ( NARROW ) || MOTOR TYPE : KBF 90 LA 8/2 || P/N : 064 787 33
D73TI0690,CURRENT COLLECTOR,KSW 4/40-1HS || CURRENT: 40 A || POLE: 4 || VOLTAGE: 690 V || ED: 60%
D73TI3433,CONICAL BRAKE DISK,DEMAG P/N.62863433 || 28/KS SET || P600
D73TI1360,BRAKE DISC SET,HOIST MORRIS 5T || P/N M0001360
D73TI2073,BRAKE,BRAKE HOIST MORRIS 5T || P/N M0002073
XX0004,CURRENT COLECTOR,MATERIAL: COPPER || DIAMETER 90mm
D52TB2042,CONTACTOR,LC1D12D7 || COIL: 42 VAC || RATED CURRENT: 12 A
D52TE6001,MOTOR BRAKE,GF 26094384 || 220 V - 500 VAC || 0.25 - 16 A AC || 0.8 A DC
B51NA3051,BALL JOINT ASSY RH,TCM FD30Z5 || P/N: 242343-30551
B74SJ0330,BEARING,BEARING CLUTCH || ME620330 || ID: 44.80mm || OD: 73mm
B96TN0030,STARTER,TCM FD30C3Z C240PKJ || P/N Z-8-97112-865-2
B98DA2041,BOLT,TCM FD30Z5 || HUB BOLT || M14 X 42 || P/N: 23654-32041
B98DA4051,NUT,TCM FD30Z5 || HUB NUT || M14 || P/N: 23654-34051
B98TH2809,BAN PEJAL,BAN DEPAN FORKLIFT || PEJAL || UK. 28 X 9 - 15
D42CD0001,BOLT SET,TCM FD30Z5 || P/N: 514A3-49821 ( BOLT. WASHER. NUT )
D52TE610202,LAMP,REAR COMBINATION LAMP ASS'Y || TCM FD30Z || P/N: 214A2-40202
D52TE610601,LAMP,HEAD LAMP ASS'Y || TCM FD30Z || P/N: 216G2-40601
D52TF4470,FAN,TCM FD30Z || P/N: Z-8-94470-553-0
D52TI42311,IGNITION SWITCH,SWITCH (STARTER) || TCM FD30Z5 || P/N: 216G2-42311
D52TI6601,CABLE ASSY,SHIFT TRANSMISSION CABLE || TCM FD30C3Z || P/N: 22N43-90561
D52TP112360,GENERATOR,TCM FD50Z6 || P/N: Z-1-81200-236-0
D73TI0228,CABLE,ACCELERATOR CABLE || P/N 22U55-22102 || TCM FD30C3Z
D73TI0302,MASTER CYLINDER,TCM FD30Z5 || P/N : 25595-40302
D73TI8888,GLOW PLUG,FORKLIFT TCM FD30 || ENGINE TYPE C240PKJ || PART NO 20801-0A071
B44LA0020,WASHER S,M 20.0
B44LB0020,WASHER P 4T GALV.,M 20.0 4T GALV
C79JR0250,RODA PU,TYPE SWIVEL || MATERIAL POLYURETHANE || DIAMETER 200MM || WIDTH 50MM || HEIGHT 237MM || BEARING TYPE : BALL || LOAD CAPACITY 250 KG/RODA
C79JR0257,RODA PU,TYPE FIX SET || MATERIAL POLYURETHANE || DIAMETER 200MM || WIDTH 50MM || HEIGHT 237MM || BEARING TYPE : BALL || LOAD CAPACITY 250 KG/RODA
D73SH3530,REPAIR KIT,MITSUBISHI FD30N || P/N: 91A51-01120
D73TI0303,RING ASSY,RING ASSYY. SYNCHRONIZE TRANSMISSION || TCM TYPE FD30C3Z || P/N. 12N43- 40251 || INC PART 12N43-42201. 12N43-42211. AND 12N43-42221
D52TH1802,ACCU,55D26R || VOLTAGE: 12 V || CAPACITY: 60 Ah
B42HJ20100,BOLT + NUT + P WASHER + S WASHER,HEX HEAD || M20 X 100 || STRENGTH 10.9 || CARBON STEEL
B51WM0004,CRIMP SOCKET,DASH SIZE -04
B51WM0006,CRIMP SOCKET,DASH SIZE -06
B51WM0008,CRIMP SOCKET,DASH SIZE -08
B51WM0010,CRIMP SOCKET,DASH SIZE -10
B51WM0012,CRIMP SOCKET,DASH SIZE -12
B51WM0016,CRIMP SOCKET,DASH SIZE -16
B98CA1008,PUSH-IN L-FITTING,MALE THREAD 1/4 WITH EXT. HEXAGONAL  || 8 mm 脴TUBE || 1/4X8 mm
B98CA1010,PUSH-IN L-FITTING,MALE THREAD 1/4 WITH EXT. HEXAGONAL  || 10 mm 脴TUBE || 1/4X10 mm
B98CA1012,PUSH-IN L-FITTING,MALE THREAD 3/8 WITH EXT. HEXAGONAL  || 12 mm 脴TUBE || 3/8X12 mm
B98CA1110,PUSH-IN L-FITTING,MALE THREAD 3/8 WITH EXT. HEXAGONAL  || 10 mm 脴TUBE || 3/8X10 mm
B98CA2006,PUSH-IN L-CONNECTOR,6 mm 脴TUBE
B98CA2008,PUSH-IN L-CONNECTOR,8 mm 脴TUBE
B98CA2010,PUSH-IN L-CONNECTOR,10 mm 脴TUBE
B98CA3006,PUSH-IN T-CONNECTOR,6 mm 脴TUBE
B98CA3008,PUSH-IN T-CONNECTOR,8 mm 脴TUBE
B98CA3010,PUSH-IN T-CONNECTOR,10 mm 脴TUBE
B98CA4006,PUSH-IN CONNECTOR,6 mm 脴TUBE
B98CA4008,PUSH-IN CONNECTOR,8 mm 脴TUBE
B98CA4010,PUSH-IN CONNECTOR,10 mm 脴TUBE
B98CA5006,PUSH-IN FITTING,MALE THREAD 1/4 WITH EXT. HEXAGONAL  || 6 mm 脴TUBE || 1/4X6 mm
B98CA5008,PUSH-IN FITTING,MALE THREAD 1/4 WITH EXT. HEXAGONAL  || 8 mm 脴TUBE || 1/4X8 mm
B98CA5010,PUSH-IN FITTING,MALE THREAD 1/4 WITH EXT. HEXAGONAL  || 10 mm 脴TUBE || 1/4X10 mm
D16ZV0060,PNEUMATIC TUBE,MATERIAL: POLYURETHANE || OD: 6 mm || ID: 4 mm || WORK PRESSURE: 1MPa || COLOUR: BLUE ||
D16ZV0080,PNEUMATIC TUBE,MATERIAL: POLYURETHANE || OD: 8 mm || ID: 5 mm || WORK PRESSURE: 10 MPa || COLOUR: BLUE
D16ZV0100,PNEUMATIC TUBE,MATERIAL: POLYURETHANE || OD: 10 mm || ID: 6.5 mm || WORK PRESSURE: 1 MPa || COLOUR: BLUE
D39HJ8100,BOLT + NUT + PLAIN WASHER + SPRING WASHE,HEXAGONAL HEAD || M8 X 100 || THREAD LENGTH: 50mm || STRENGTH: 8.8 || CARBON STEEL
D51JC0010,CLAMP,HOSE CLAMP || MATERIAL: STAINLESS STEEL || DIA: 3/8
D51JC0120,CLAMP,HOSE CLAMP || MATERIAL: STAINLESS STEEL || DIA: 1/2
D73TI3038,QUICK COUPLER,SOCKET MALE THREAD || 30SM || 3/8
B40AT40220,PRECISION GEAR MOTOR,MODEL: G13V || TYPE: G13V400S-100 POWER: 400 W || 3 PHASE 220 V || 50 HZ || OUTPUT RPM: 14 || IP 22
B43KB0005,NUT HEX SUS 304,M 5.0 X P SUS
B47AA6605,REFRIGERATED AIR DRYER,OPERATING PRESSURE : 0.7MPa || INLET AIR TEMP : 5-50藲C || INLET AIR PRESSURE : 0.15-1.0 MPa || 220 VAC || 50Hz || Rc1/2 || AIR FLOW CAP:
D04UP1750,HOSE,HIGH PRESSURE HOSE || KARCHER 12 MPa/1750 PSI || LENGTH: 6M
D73TI1180,BELT,BELT TYPE: BANFLEX || LENGTH: 1180mm || 11M1180
D73TI3552,OIL SEAL,RADIAL SHAFT SEAL || DIM SHAFT: 35 mm || BORE : 52 mm || SEAL WIDTH: 7 mm
D73TI3439,OIL SEAL,RADIAL SHAFT SEAL || 340 x 390 x 25 HDS1 R || ID: 340 mm || OD: 390 mm || WIDTH: 25 mm
B51UH0100,HOSE CLAMP,1''
B51UH0304,HOSE CLAMP,3/4''
D31WH0020,OIL PUMP,OIL PUMP ZP 20/000
D52TO2501,PUMP,TYPE:A16-F-R-01-C-K-32 || GEOMETRIC DISPLACEMENT : 15.8cc/rev || RATED OPERATING PRESSURE: 16MPa || MAX SPEED:600-1800 RPM || AXIAL PORT
D50AD0302,DOOR CLOSER,TYPE: WITH HOLD OPEN || SIZE: 302
D51NB1210,REDUCER,UK:1/2-1 || MATERIAL: PVC
D51NB1234,REDUCER,UK:1/2-3/4 || MATERIAL: PVC
D51ND0034,KRAN,STOP KRAN 3/4 || KUNINGAN
D51ND0200,KRAN,STOP KRAN 2 || KUNINGAN
D51NH0001,PUSH KRAN URINAL,GALVANIS & KUNINGAN
D51NK3814,PIPA,PIPA AC 3/8+1/4 || CAP AC: 1.5 PK
D51PF0012,SOCK PVC,UK:1/2 || MATERIAL: PVC
D51PF0034,SOCK PVC,UK:3/4 || MATERIAL: PVC
D51PF0100,SOCK PVC,UK:1 || MATERIAL: PVC
D51PF0125,SOCK PVC,UK: 1.25 || MATERIAL: PVC
D51PF0150,SOCK PVC,UK:1.5 || MATERIAL: PVC
D51QA0012,ELBOW,UK:1/2 || MATERIAL: PVC
D51QA0034,ELBOW,UK:3/4 || MATERIAL: PVC
D51QA0100,ELBOW,UK: 1 || MATERIAL: PVC
D51QA0125,ELBOW,UK:1.25 ||MATERIAL: PVC
D51QA0150,ELBOW,UK:1.5 || MATERIAL: PVC
D52TF2208,FAN,TYPE: CEILING EXHAUST FAN || FV-20TGU || 220 V || DIA: 8
D52TF2210,FAN,TYPE: CEILING EXHAUST FAN || FV-25TGU || 220 V || DIA: 10
D65TS0040,SPRAY NOZZLE,MALE TYPE || CAPACITY 2.0 GALON/MIN AT 40 || DIA: 1/2 || THREAD PITCH: 19G
D43KA0003,DYNABOLT,M6 X 40 || MATERIAL: STEEL || HEX NUT ||
D43KA0005,DYNABOLT,M16 X 100 || MATERIAL: STEEL || HEX NUT ||
A02YH0040,CABLE,NYYHY TYPE || 4X1.5 mm虏 || 450/750V || FLEXIBLE COPPER CONDUCTOR || PVC INSULATED
A02YH0215,CABLE,NYYHY TYPE || 2 X 1.5mm虏 || 450/750 V || COPPER CONDUCTOR || PVC INSULATION
A02YH04025,CABLE,NYYHY TYPE || 4X2.5 mm虏 || 450/750V || FLEXIBLE COPPER CONDUCTOR || PVC INSULATED
A02YH0404,CABLE,NYYHY TYPE || 4X4mm虏 || 0.6/1 KV || COPPER CONDUCTOR || PVC INSULATION
A02YH0406,CABLE,NYYHY TYPE || 4X6 mm虏 || 450/750V || FLEXIBLE COPPER CONDUCTOR || PVC INSULATED
A02YH06015,CABLE,NYYHY TYPE || 6X1.5 mm虏 || FLEXIBLE COPPER CONDUCTOR || PVC NSULATED
A02YH1215,CABLE,NYYHY TYPE || 12X1.5mm虏 || 450/750 V || COPPER CONDUCTOR || PVC INSULATION
A52YG03025,CABLE,NYY TYPE || 3X2.5mm虏 || 450/750 V || COPPER CONDUCTOR || PVC INSULATION
A52YG0404,CABLE,NYY TYPE || 4X4mm虏 || 0.6/1 KV || COPPER CONDUCTOR || PVC INSULATION
A52YH0202,CABLE,NYYHY TYPE || 2X2.5 mm虏 || 300/500V || FLEXIBLE COPPER CONDUCTOR || PVC INSULATED
B52TA11061,MCB,6 A || 1 PHASE || 220VAC || 1 POLE
B52TA1110,MCB,10 A || 1 PHASE || 220 VAC || 1 POLE
B52TA1116,MCB,16 A || 1 PHASE || 220 VAC || 1 POLE
B52TA1332,MCB,32 A || 3 PHASE || 380 VAC || 3 POLE ||
B52TB2025,CONTACTOR,LC1D25D7 || COIL: 42VAC || RATED CURRENT: 25 A
B52TD1001,KAP LAMPU,MODEL: GANTUNG || E40 TYPE || LAMP MODEL: MERCURY || FITTING TYPE: E40
B52TD2224,LAMPU,LAMPU SL || 220 VAC 50 Hz || 23 W || 1390 LM
B52TM0519,KAP LAMPU,MODEL: GANTUNG || E27 TYPE || LAMP MODEL: LAMPU SL || FITTING TYPE: E27
B52TM0527,FITTING LAMPU,MODEL : GANTUNG || E27 TYPE || ID : 27 MM
B52TM0541,FITTING LAMPU,MODEL: GANTUNG || E40 TYPE || ID: 40MM
B52TM0550,LAMP KAP,ALUMINIUM BOX FOR 250 TO 400 WATT HPI-T LAMP || STANDART IP65 || INCLUDE BALLAST. KAPASITOR. TRAFO
B52TO4907,BOX PANEL,TYPE: INDOOR || SIZE : 40 X 60 X 20 CM || POWDER COATING
B52UM0378,STOP KONTAK,SUARFACE MOUNTING SOCKET || 3 PHASE || 5 POLE || 32 A || 380/415 VAC || P/N: 55378
B52UM1003,STOP KONTAK,SURFACE MOUNTING SOCKET || 32A  || 200/250V  || 2P+E
B52UM8124,STEKER/PLUG,32A  || 380/415V || 2P+E || P/N: 58124
B52UM8129,STEKER / PLUG,32A  || 380/415V  || 3P+N+E (WARNA MERAH) || P/N: 58129
B52UX3240,BOX PANEL,TYPE: INDOOR || SIZE: 30X20X40 || POWDER COATING
D02YH0425,CABLE,NYYHY TYPE || 4X35mm虏 || 450/750 V || COPPER CONDUCTOR || PVC INSULATION
D52TA23175,MCCB,RATED CURRENT: 175 A || BREAKING CAPACITY: 18 KA || 3P 380/415 VAC || IEC 60947-2
D52TA2325,MCCB,RATED CURRENT: 250 A || BREAKING CAPACITY: 25 KA || 3P 380/415 VAC || IEC 60947-2
D52TA2350,MCCB,RATED CURRENT: 50 A || BREAKING CAPACITY: 25 KA || 3P 380/415 VAC || IEC 60947-2
D52TB4501,CONTACTOR,COIL: 220 VAC 50 Hz || RATED CURRENT: 12 A || AUX CONTACT: 1 NO + 1 NC || MAIN CONTACT: 3 NO
D52TB4502,CONTACTOR,COIL: 220 VAC 50 Hz || RATED CURRENT: 25 A || AUX CONTACT: 1 NO + 1 NC || MAIN CONTACT: 3 NO
D52TB4503,CONTACTOR,COIL: 220 VAC 50 Hz || RATED CURRENT: 32 A || AUX CONTACT: 1 NO + 1 NC || MAIN CONTACT: 3 NO
D52TC0340,THERMAL OVERLOAD RELAY,LRD 340 || PROTECTION: 30 - 40 A || RATED VOLTAGE: 690 VAC 0 - 400 Hz
D52TC0350,THERMAL OVERLOAD RELAY,LRD 350 || PROTECTION: 37 - 50 A || RATED VOLTAGE: 690 VAC 0 - 400 Hz
D52TC3559,THERMAL OVERLOAD RELAY,LR2D3559 || PROTECTION: 48 - 65 A || RATED VOLTAGE: 690 VAC 0 - 400 Hz
D52TD2040,LAMPU,LAMPU SOROT || HPI-T 400 W || 220 VAC || COMPLETE HOUSING AND LAMP || IP65
D52TE6804,LAMPU,PILOT LAMP LED COMPLETED DIGITAL VOLTMETER || VOLTAGE: 50 - 450 VAC || COLOUR: GREEN || DIAMETER: 22 mm
D52TE6806,LAMPU,LED BULB || COLOUR: WARM WHITE || 220 VAC 50 Hz || 19 W || LUMINOUS RANGE: 2300 - 2500 LM
D52TO0105,POWER SUPPLY,INPUT: 200-220VAC || OUTPUT: 24 VDC 5 A
D52TO2601,STARTER,S2-P || POWER: 4 - 22 W || VOLTAGE: 220-240 V
D52TP16120,TIMER,STAR-DELTA TIMER || H3CR-G8EL || SUPPLY: 100-120 VAC
D52YH4100,CABLE,NYYHY TYPE || 4X10mm虏 || 0.6/1 KV || COPPER CONDUCTOR || PVC INSULATION
A04WJ0004,HEAT SHRINK cable tube,DIA. 4 MM. Black
A04WJ00132,HEAT SHRINK,12MM BLACK
A04WJ0013A,HEAT SHRINK CABLE SLEEVE,DIA: 6 MM YELLOW
B52TF1400,FAN,FAN UK 20鈥
B52TO0240,BATTERY CHARGER,V INPUT : 220VAC/380VAC 50 Hz || V OUTPUT : 110 VDC (NOMINAL) . 95 - 150 VDC (ADJUSTABLE) || OUTPUT CURRENT MAX : 40 A || AUTOMATIC S
B52TO2084,DC INVERTER CONTROL,DIT-843-5 || 3P-AC-380V-50/60Hz P.SUPPLY || 800A OUT. CURRENT || 173kVA RATED CAP. || 480kVA MAX CAP
B52TO4991,BOX MCB 1 PHASE,SPEK UMUM. MATERIAL PLASTIK / LOGAM
B52TO4993,BOX MCB 3 PHASE,SPEK UMUM. MATERIAL PLASTIK / LOGAM
B52TQ1708,SRAM PC CARD,BN-02MHSRC || 2MB SRAM PC || 8KB ATTRIBUTE MEMORY
B52TQ1720,PC CARD READER,SRAM PC CARD READER || USB 2.0 || USED FOR SRAM PC CARD BN-02MHSRC
B52TQ1822,PROGRAMMABLE CONTROLLER,SIMATIC S5 S5-95U PLC || 6ES5-095-8MA02 || 24 VDC ||
B52UM1503,CONTACT CLEANER,UNTUK KOMP. ELECTRIC
B52UM2521,SELECTOR SWITCH,Part number A15436216 . Schneider E.XB5AD21. 1N/0. 脴22
D52TE4330,LAMPU,LIGHT BULB || VOLTAGE: 30 V || POWER: 1 W || BASE TYPE: BA9S
D52TE6802,LAMPU,LED STREET LIGHT NNP19914GL || POWER: 120 WATT || VOLTAGE: 100 - 240 VAC || LUMEN || 14400
D52TI1715,LIMIT SWITCH,MICRO SWITCH || BZE6-2RQ8-J || 15 A || 125. 250 OR 480 VAC
D52TI6602,CABLE,NYY TYPE || 4X2.5 mm虏 || 450/750V || PVC INSULATED
D52TM0501,FITTING LAMPU,FITTING LAMPU TOKI 500 WATT || COMPLETED HOUSING || WITHOUT LAMP
D52TO0160,DC POWER SUPPLY,ADJUSTABLE OUTPUT || VOLTAGE: 0-60 VDC || CURRENT || 0-6 A || INPUT: 220 VAC 50 Hz || POWER: 360 W || DIGITAL OUTPUT PANEL || COMPLETED TEST
D52TP0301,WIREWOUND VARIABLE RESISTOR,RESISTOR: 50 OHM || POWER: 200 WATT || OD: 105 mm
D66UI0020,ISOLASI PLASTIC,20mm x 20 yard NITO
D52TA5101,MCCB,RATED CURRENT: 300A || BREAKING CAPACITY: 25KA || 3P 380/415 VAC || IEC 60947- 2
D52TA5102,MCCB,RATED CURRENT: 400A || BREAKING CAPACITY: 25KA || 3P 380/415 VAC || IEC 60947- 2
D52TE0901,LAMPU,LAMPU SOROT || LED 100W || 220VAC-50Hz || LUMEN MIN: 10000 lm
D52TE6901,LAMPU,LAMPU TL || COMPLETED BOX || WATERPROOF COVER || 220V- 50Hz || 18W
D52TE7101,LED DRIVER,V in: 220-240V 50/60Hz || V out: 51-82VDC || I out: 0.4 A || P out: 30W
D52TK0201,CABLE DUCT,WIRING CABLE DUCT || LENGTH: 1000mm || WIDTH: 65mm || HEIGHT: 16mm || MATERIAL: PVC  || COLOUR: WHITE
D52TA2601,MCCB,RATED CURRENT: 100A || BREAKING CAPACITY: 25KA || 3P 380/415 VAC || IEC 60947- 2
D52TA2602,MCCB,RATED CURRENT: 125A || BREAKING CAPACITY: 25KA || 3P 380/415 VAC || IEC 60947- 2
D02YM1206,CABLE,OVERHEAD CABLE TELEPHONE || 1 X 2 X 0.6mm虏
D31WG0002,SOLAR,
D31WH1301,PENETRATING OIL,
A52YB4021,POWER CABLE HOSE,TIG WELDING TORCH AW-18 || LENGTH: 4 M || P/N: H21E00
B40AB1200,THERMISTOR,THERMISTOR AC PANASONIC || CAP: 2 PK || TYPE: CASSETTE
B41BA0420,SCREW PAN,JIS B 1111
B43KB0004,NUT HEX SUS 304,M 4 SUS
B47BE74870,BRAKE COMPLETE,MOTOR HOIST STAHL 3 TON || P/N: 567 487 0
B47MB5276,AIR CYLINDER,OA2-ADN-152-76-L || DUAL PISTON || STROKE : 76 || BORE DIA : 100桅
B52TA1340,MCB,40 A || 3 PHASE || 380 VAC || 3 POLE || BREAKING CAPACITY: 20 kA
B52TB0032,CONTACTOR,3TC44 17-0AB432 A || COIL: 24VDC || 2 NO
B52TD0703,PULSE CODER,PULSE CODER FOR AC SERVO MOTOR || TYPE BETA B128IA || P/N: A860-2020-T301
B52TE2009,LAMPU,STROBE LAMP ( ROTARY ) || SUPPLY VOLTAGE 250 VDC || MIN HEIGHT : 9 inch ||
B52TE5040,CURRENT COLLECTOR,SKNT 4/40 || CURRENT: 40 A || POLE: 4 || VOLTAGE: 690 V || ED: 60%
B52TF0172,KIPAS ANGIN,TYPE DINDING. SIZE 24 INCH. INPUT 220 VOLT. 1100RPM. MATERIAL METAL. INCLUDE MOUNTING BRACKET
B52TI0346,RING TERMINAL,0
B52TK1801,BARLOCK,0
B52TK1802,BARLOCK,0
B52TM0140,FUSE,400A || FUSE TYPE: NH || IEC 60269-2-1  || VOLTAGE RATING 500 VAC
B52TN4269,LITHIUM BATTERY,FANUC/PANASONIC  || BR-2/3AGCT4A  || 6.0V-2400mAH  || NON RECHARGEABLE  || INCLUDE CABLE CONNECTOR
B74SJ0608ZZ,BEARING,608ZZ (NTN/SKF/FAG/KOYO)
B80UT60301,DISC CLUTCH,TCM FD30C3Z || P/N: 55593-60301
B98AA0067,BEARING,BEARING FOR BALL SCREW || HARTFORD PRW-6340 || P/N 3039000076 || MM50BS100QH || BORE DIA: 50mm || OD: 100mm
B98AA0150,BEARING,DEEP GROOVE BALL BEARING || 608-2Z || ID: 8mm || OD: 22mm || WIDTH: 7mm
B98AA0307,BEARING,BEARING FOR BALL SCREW || HARTFORD PRW-6340 || P/N 3039000307 || BSB035072TH ||
B98AA0316,BEARING,BEARING FOR BALL SCREW || P/N 3039000316 || BSB035072QH
B98AA0335,BEARING,BEARING FOR BALL SCREW || HARTFORD PRW-6340 || P/N 3039000335 || MM60BS120HU || BORE DIA: 60mm || OD: 120mm
B98AA2251,BEARING,NEEDLE BEARING || P/N 12003-42251 || MISSION GEAR TCM TYPE FD30C3Z
B98AA2301,BEARING,NEEDLE BEARING || P/N 12N43-42301 || MISSION GEAR TCM TYPE FD30C3Z
B98AD2044,PRESSURE SPRING,DEMAG || P600 || 3.6 X 43 X 74 || P/N: 61782044
B98AH6333,ROTOR,DEMAG || ROTOR SET FG28 || 16/7 P4 || P/N: 56466333
B98AJ1533,THRUST RING SET,DEMAG || FG28 || P/N: 61671533
B98CG8011,COVER ASM WATER DUCT,TCM FD-50Z6 || ENGINE: 6BB1 || P/N: Z-9-11280-801-1 ||
B98MA1585,BELT,SYNCHRONOUS BELT || P/N: 1264-8YU || TEETH: 158 || WIDTH: 50mm
B98NA0101,STARTER ASSY,P/N. 32A66-10101  || 12V-2.2KW  || FORKLIFT MITSUBISHI FD30N-ENGINE S4S
B98ND0030,PACKING COVER COOLER BODY,TCM FD-50Z6 || ENGINE: 6BB1 || P/N: Z-5-11282-003-0
B98TA2006,C-RAILS CONDUCTOR SYSTEM,ORDER NO. : 023200-6  || GALVANIZED STEEL (32X30X26-12)  || LENGTH 6000 MM
C77RK1825,TIG TORCH ASSY,MILLER SYNCROWAVE 350 - WP-18-25 WELD CRAFT || COMPLETE STANG. SWITCH. HOSE. CABLE 7.6 M
C96JB1019,WIRE ROPE BOTTOM BLOCKS HOOK,CAPACITY 5 TON || WIRE ROPE SIZE : 10 mm DIA || REEVING 4/2
C96JB3683,HYDRAULIC HAND PALLET,kap. 2T
D15RH0762,ALUMINIUM BRONZE,AlBr2 || SOLID ROUND: DIAMETER: 3 || REQUISITE: MILL CERTIFICATED
D16PH1270,PIPE,PIPE FOR AIR CONDITIONER 1.5 PK - 2 PK || 1/4 + 1/2 || DIAMTER COPPER 1/4 || THICKENESS: 0.81mm ||
D16RH1016,ALUMINIUM BRONZE,AlBr2 || SOLID ROUND: DIAMETER: 4 || REQUISITE: MILL CERTIFICATED
D16TC0010,PIPE,DIAMETER: 1 || MATERIAL: PVC
D31WH0009,OLI,DIESEL ENGINE || SAE 40 || API CF2 || 5 LITER ||
D41BG1001,SCREW,SCREW TRUSH HEAD (JT) SUS 304 || M 4.0 X 30 MM SUS
D41BU0001,SCREW,SCREW M4.5x40mm COMPLETE FISCHER NYLON S8
D51JC0001,CLAMP,OMEGA CLAMP || DIAMETER: 1 || MATERIAL: GALVANIZATION
D51NB0002,REDUCER,SIZE:1-3/4 || FEMALE THREAD || MATERIAL: GALVANIS
D51NB1034,REDUCER,DIAMETER:1-3/4 || MATERIAL: PVC CLASS AW
D51PF0001,SOCK,FEMALE THREAD 1/2 X 3/4 || AW PVC
D51PG0001,SOCK,SOCK EXTERNAL THREAD 1 || MATERIAL: PVC
D51PG0002,SOCK,SOCK INTERNAL THREAD 1 || MATERIAL: PVC
D51PH0001,WATER MUR,SIZE:2 || MATERIAL: STAINLESS STEEL
D51QA0001,ELBOW,SIZE:2 || MATERIAL: STAINLESS STEEL || TREAD NPT
D51QY0001,TEE,SIZE:1 || MATERIAL: STAINLESS STEEL || THREAD NPT
D51QY0002,TEE,DIAMTER: 1 || MATERIAL: PVC AW
D51QY0003,TEE,DIAMETER: 3/4 || MATERIA:PVC AW
